disease,entrez_id
prostatic diseases,11200
prostatic diseases,25978
prostatic diseases,340602
prostatic diseases,5630
prostatic diseases,5305
prostatic diseases,2048
prostatic diseases,137868
prostatic diseases,10611
prostatic diseases,122525
prostatic diseases,4481
prostatic diseases,157638
prostatic diseases,367
prostatic diseases,51312
prostatic diseases,2255
prostatic diseases,1761
prostatic diseases,54535
prostatic diseases,430
prostatic diseases,63892
"liver cirrhosis, biliary",100129176
"liver cirrhosis, biliary",3592
"liver cirrhosis, biliary",100129017
"liver cirrhosis, biliary",23534
"liver cirrhosis, biliary",133690
"liver cirrhosis, biliary",9844
"liver cirrhosis, biliary",5155
"liver cirrhosis, biliary",91828
"liver cirrhosis, biliary",2294
"liver cirrhosis, biliary",23228
"liver cirrhosis, biliary",8986
"liver cirrhosis, biliary",6122
"liver cirrhosis, biliary",7132
"liver cirrhosis, biliary",51300
"liver cirrhosis, biliary",3595
"liver cirrhosis, biliary",4126
"liver cirrhosis, biliary",6689
"liver cirrhosis, biliary",388722
"liver cirrhosis, biliary",1656
"liver cirrhosis, biliary",133688
"liver cirrhosis, biliary",3663
"liver cirrhosis, biliary",3930
"liver cirrhosis, biliary",5890
"liver cirrhosis, biliary",23274
"liver cirrhosis, biliary",22806
"liver cirrhosis, biliary",4790
"liver cirrhosis, biliary",647076
"liver cirrhosis, biliary",3394
"liver cirrhosis, biliary",3119
"liver cirrhosis, biliary",3118
"liver cirrhosis, biliary",4664
"liver cirrhosis, biliary",643
bone diseases,3239
bone diseases,5176
bone diseases,23046
bone diseases,760
bone diseases,10682
bone diseases,23592
bone diseases,5745
bone diseases,7227
bone diseases,60681
bone diseases,8540
bone diseases,6949
bone diseases,5479
bone diseases,7058
bone diseases,1836
bone diseases,4148
bone diseases,51752
bone diseases,7056
bone diseases,25949
bone diseases,9241
bone diseases,4982
bone diseases,10660
bone diseases,10584
bone diseases,3977
bone diseases,267015
bone diseases,28962
bone diseases,400867
bone diseases,3837
bone diseases,142680
bone diseases,1311
bone diseases,121340
bone diseases,50964
bone diseases,6399
bone diseases,7040
bone diseases,8022
bone diseases,10683
bone diseases,3339
bone diseases,390283
bone diseases,64175
bone diseases,100270956
bone diseases,3248
bone diseases,149233
bone diseases,7253
bone diseases,2316
bone diseases,8878
bone diseases,344423
bone diseases,10758
bone diseases,415
bone diseases,54510
bone diseases,8707
bone diseases,3844
bone diseases,2254
bone diseases,4488
bone diseases,284274
bone diseases,2778
bone diseases,57539
bone diseases,169792
bone diseases,120227
bone diseases,8600
bone diseases,1482
bone diseases,6452
bone diseases,8443
bone diseases,7038
bone diseases,9658
bone diseases,200728
bone diseases,5251
bone diseases,4041
bone diseases,205327
bone diseases,4049
bone diseases,196527
bone diseases,652411
bone diseases,1513
bone diseases,2263
bone diseases,2260
bone diseases,64840
bone diseases,9469
bone diseases,5966
bone diseases,2074
bone diseases,10133
bone diseases,8200
bone diseases,9842
bone diseases,3107
bone diseases,4758
bone diseases,4055
bone diseases,1387
bone diseases,4750
bone diseases,6777
bone diseases,51059
bone diseases,2261
bone diseases,7421
bone diseases,54829
bone diseases,50506
bone diseases,1299
bone diseases,3593
bone diseases,23657
bone diseases,9533
bone diseases,79574
bone diseases,79577
bone diseases,351143
bone diseases,100271278
bone diseases,2737
bone diseases,8483
bone diseases,79659
bone diseases,2200
bone diseases,8820
bone diseases,9401
bone diseases,2688
bone diseases,405753
bone diseases,501
bone diseases,7291
